id,Videocard Name,Passmark G3D Mark(higher is better),Rank(lower is better),Videocard Value(higher is better),Price(USD)
2181,Radeon RX 7600,16614,107,60.42,$274.99
2182,Radeon RX 7600 XT,17141,99,47.62,$359.97
2183,Radeon RX 7600M,11581,218,NA,NA
2184,Radeon RX 7600M XT,13103,176,NA,NA
2185,Radeon RX 7600S,15428,128,NA,NA
2186,Radeon RX 7650 GRE,16992,103,NA,NA
2187,Radeon RX 7700 XT,22475,54,46.34,$484.99
2188,Radeon RX 7700S,15376,131,NA,NA
2189,Radeon RX 780,7657,323,NA,NA
2190,Radeon RX 7800 XT,24245,40,40.41,$599.99
2191,Radeon RX 7800M,17029,102,NA,NA
2192,Radeon RX 7900 GRE,27030,28,50.06,$539.99*
2193,Radeon RX 7900 XT,28936,17,41.34,$699.99
2194,Radeon RX 7900 XTX,31166,12,27.95,"$1,115.23"
2195,Radeon RX 7900M,23033,47,NA,NA
2196,Radeon RX 9070,25065,37,32.55,$769.99
2197,Radeon RX 9070 GRE,20506,66,NA,NA
2198,Radeon RX 9070 XT,26927,30,31.31,$859.99
2199,Radeon RX Vega - Renoir Ryzen 3 5300U,2312,770,NA,NA
2200,Radeon RX Vega 10,1631,992,NA,NA
2201,Radeon RX Vega 10 Ryzen 7 3700C,1166,1157,NA,NA
2202,Radeon RX Vega 10 Ryzen 7 3700U,1485,1052,NA,NA
2203,Radeon RX Vega 10 Ryzen 7 3750H,1883,904,NA,NA
2204,Radeon RX Vega 10 Ryzen 7 PRO 3700U w/,1503,1044,NA,NA
2205,Radeon RX Vega 11,2104,829,2.10,"$1,002.00*"
2206,Radeon RX Vega 11 PRD,2401,746,NA,NA
2207,Radeon RX Vega 11 Processor,1766,943,NA,NA
2208,Radeon RX Vega 11 Ryzen 5 3350G,1892,899,NA,NA
2209,Radeon RX Vega 11 Ryzen 5 3400G,2159,809,NA,NA
2210,Radeon RX Vega 11 Ryzen 5 3400GE,1941,888,NA,NA
2211,Radeon RX Vega 56,13082,177,17.37,$752.99*
2212,Radeon RX Vega 6 Ryzen 3 3200U,906,1302,NA,NA
2213,Radeon RX Vega 64,14074,153,18.77,$749.99*
2214,Radeon RX Vega 8,1527,1034,NA,NA
2215,Radeon RX Vega M GH,6587,361,NA,NA
2216,Radeon RX Vega M GL,3867,554,NA,NA
2217,Radeon RX Vega Ryzen 3 5300U,2329,766,NA,NA
2218,Radeon RX Vega Ryzen 5 5600GT,9558,259,NA,NA
2219,Radeon RX Vega Ryzen 7 5825U,2916,665,NA,NA
2220,Radeon RX Vega11,1605,1005,NA,NA
2221,Radeon RX Vega11 Ryzen 7 3750H,1711,963,NA,NA
2222,Radeon RX Vega11 Ryzen 7 Microsoft Surface Edition,1420,1072,NA,NA
2223,Radeon RX590 GME,8444,292,NA,NA
2224,Radeon Ryzen 3 3250U,807,1380,NA,NA
2225,Radeon Ryzen 3 5300U,1613,1001,NA,NA
2226,Radeon Ryzen 3 5425U,1531,1032,NA,NA
2227,Radeon Ryzen 3 7330U,1629,994,NA,NA
2228,Radeon Ryzen 3 7335U,2158,810,NA,NA
2229,Radeon Ryzen 3 PRO 4355GE,1431,1068,NA,NA
2230,Radeon Ryzen 3 PRO 5355GE,1951,885,NA,NA
2231,Radeon Ryzen 3 PRO 5450U,1710,964,NA,NA
2232,Radeon Ryzen 3 PRO 5475U,1541,1029,NA,NA
2233,Radeon Ryzen 3 PRO 7330U,1832,923,NA,NA
