,品牌,名稱,型號,瓦數,適用機殼尺寸類型,模組化,價格
25,,全漢 金鋼彈 750W ATX3.0,750W,750,SFX,2,3690
26,,全漢 金鋼彈 850W ATX3.0,850W,850,SFX,2,4590
27,,全漢 金鋼彈 850W ATX3.0,850W,850,SFX,2,4690
28,,銀欣 300W 銅牌/5年保,300W,300,SFX,0,1790
29,,銀欣 450W 銅牌/5年保,450W,450,SFX,0,2390
30,,銀欣 SX700-G,SX700-G,700,SFX,2,3990
31,酷碼,酷碼 V SFX GOLD 850W ATX3.1 黑色 雙8/金牌/全模組,SFX,850,SFX,2,4890
32,酷碼,酷碼 V SFX GOLD 850W ATX3.1 白色 雙8/金牌/全模組,SFX,850,SFX,2,4890
33,酷碼,酷碼 V SFX Platinum 1100W 雙8/白金/全模組/ATX3.0,SFX,1100,SFX,2,7990
34,華碩,華碩 PRIME 550W 銅牌/直出線/雙滾珠風扇/壓紋線材/6年保,PRIME,550,ATX,0,1990
35,華碩,華碩 PRIME 650W 銅牌/直出線/雙滾珠風扇/壓紋線材/6年保,PRIME,650,ATX,0,2190
36,華碩,華碩 PRIME 750W 雙8/銅牌/直出線/雙滾珠風扇/壓紋線材/6年保,PRIME,750,ATX,0,2590
37,華碩,華碩 PRIME 750W Gold 雙8/金牌/全模組/ATX3.0,PRIME,750,ATX,2,3290
38,華碩,華碩 PRIME 850W Gold 雙8/金牌/全模組/ATX3.0,PRIME,850,ATX,2,3690
39,華碩,華碩 TUF GAMING 550W 銅牌/直出線/雙滾珠風扇/智慧停轉/防潮塗層/6年保▼下殺到 5/31 21:00,TUF,550,ATX,0,2190
40,華碩,華碩 TUF GAMING 650W 銅牌/直出線/雙滾珠風扇/智慧停轉/防潮塗層/6年保,TUF,650,ATX,0,2490
41,華碩,華碩 TUF GAMING 750W 雙8/銅牌/直出線/雙滾珠風扇/智慧停轉/防潮塗層/6年保,TUF,750,ATX,0,2790
42,華碩,華碩 TUF GAMING 750W Gold 雙8/金牌/全模組/ATX3.0,TUF,750,ATX,2,3790
43,華碩,華碩 TUF GAMING 850W Gold 雙8/金牌/全模組/ATX3.0,TUF,850,ATX,2,4290
44,華碩,華碩 TUF GAMING 1000W Gold 雙8/金牌/全模組/ATX3.0,TUF,1000,ATX,2,5290
45,華碩,華碩 TUF GAMING 1000W Gold 白色版 雙8/金牌/全模組/ATX3.0,TUF,1000,ATX,2,5390
46,華碩,華碩 TUF GAMING 1200W Gold 雙8/金牌/全模組/ATX3.0,TUF,1200,ATX,2,5990
47,華碩,華碩 ROG STRIX 750W AURA 雙8/金牌/全模組/ATX3.0,ROG,750,ATX,2,5790
48,華碩,華碩 ROG STRIX 850W AURA 雙8/金牌/全模組/ATX3.0,ROG,850,ATX,2,6290
49,華碩,華碩 ROG STRIX 850W 雙8/白金/全模組/ATX3.1,ROG,850,ATX,2,5990
50,華碩,華碩 ROG STRIX 1000W 雙8/白金/全模組/ATX3.1,ROG,1000,ATX,2,6990
51,華碩,華碩 ROG STRIX 1000W 白色版 雙8/白金/全模組/ATX3.1,ROG,1000,ATX,2,7390
52,華碩,華碩 ROG STRIX 1200W 雙8/白金/全模組/ATX3.1,ROG,1200,ATX,2,7990
53,華碩,華碩 ROG THOR III 1000W 雙8/白金/全模組/OLED監控/ATX3.1,ROG,1000,ATX,2,12490
54,華碩,華碩 ROG THOR III 1200W 雙8/白金/全模組/OLED監控/ATX3.1,ROG,1200,ATX,2,13990
55,華碩,華碩 ROG THOR III 1600W 雙8/鈦金/全模組/OLED監控/ATX3.1,ROG,1600,ATX,2,23990
