,coolpc_id,coolpc_name,benchmark_name,mark,rank,value,benchmark_price
212,38,Intel i5-12400F,1,AArch64 rev 2 (aarch64),"2,409",2993,nan
213,38,Intel i5-12400F,2,AArch64 rev 4 (aarch64),"1,813",3364,nan
214,38,Intel i5-12400F,4,AC8259V/WAB,910,4124,nan
215,38,Intel i5-12400F,5,Allwinner A133,668,4413,nan
216,38,Intel i5-12400F,12,AMD 3015e,"2,657",2847,nan
217,38,Intel i5-12400F,24,AMD A10-5750M APU,"2,062",3199,26.42
218,38,Intel i5-12400F,40,AMD A10-7890K,"3,550",2452,26.07
219,38,Intel i5-12400F,124,AMD A6-9210,"1,254",3773,nan
220,38,Intel i5-12400F,240,AMD Athlon 7550 Dual-Core,900,4138,60.23
221,38,Intel i5-12400F,400,AMD Athlon XP 2700+,256,4915,3.02
222,38,Intel i5-12400F,1240,AMD Ryzen 9 7950X,"62,523",99,137.11
223,38,Intel i5-12400F,2400,Intel Core i5-13600T,"26,952",497,105.69
224,39,Intel i5-12400,0,AArch64,833,4213,nan
225,39,Intel i5-12400,1,AArch64 rev 2 (aarch64),"2,409",2993,nan
226,39,Intel i5-12400,2,AArch64 rev 4 (aarch64),"1,813",3364,nan
227,39,Intel i5-12400,4,AC8259V/WAB,910,4124,nan
228,39,Intel i5-12400,5,Allwinner A133,668,4413,nan
229,39,Intel i5-12400,12,AMD 3015e,"2,657",2847,nan
230,39,Intel i5-12400,24,AMD A10-5750M APU,"2,062",3199,26.42
231,39,Intel i5-12400,40,AMD A10-7890K,"3,550",2452,26.07
232,39,Intel i5-12400,124,AMD A6-9210,"1,254",3773,nan
233,39,Intel i5-12400,240,AMD Athlon 7550 Dual-Core,900,4138,60.23
234,39,Intel i5-12400,400,AMD Athlon XP 2700+,256,4915,3.02
235,39,Intel i5-12400,1240,AMD Ryzen 9 7950X,"62,523",99,137.11
236,39,Intel i5-12400,2400,Intel Core i5-13600T,"26,952",497,105.69
237,40,Intel i7-12700K,0,AArch64,833,4213,nan
238,40,Intel i7-12700K,1,AArch64 rev 2 (aarch64),"2,409",2993,nan
239,40,Intel i7-12700K,2,AArch64 rev 4 (aarch64),"1,813",3364,nan
240,40,Intel i7-12700K,7,Allwinner A527,"2,297",3053,nan
241,40,Intel i7-12700K,12,AMD 3015e,"2,657",2847,nan
242,40,Intel i7-12700K,27,AMD A10-5800K APU,"2,955",2703,37.88
243,40,Intel i7-12700K,70,AMD A4-4020 APU,"1,269",3756,12.05
244,40,Intel i7-12700K,127,AMD A6-9220e,960,4072,nan
245,40,Intel i7-12700K,270,AMD Athlon II Neo K325 Dual-Core,417,4693,16.04
246,40,Intel i7-12700K,700,AMD Opteron 285,956,4077,38.3
247,40,Intel i7-12700K,1270,AMD Ryzen AI Max 385,"18,441",858,nan
248,40,Intel i7-12700K,2700,Intel Core i7-12800HX,"31,889",369,69.78
249,41,Intel Xeon W5-2455X,2,AArch64 rev 4 (aarch64),"1,813",3364,nan
250,41,Intel Xeon W5-2455X,4,AC8259V/WAB,910,4124,nan
251,41,Intel Xeon W5-2455X,5,Allwinner A133,668,4413,nan
252,41,Intel Xeon W5-2455X,24,AMD A10-5750M APU,"2,062",3199,26.42
253,41,Intel Xeon W5-2455X,45,AMD A10-9620P,"2,521",2925,nan
254,41,Intel Xeon W5-2455X,55,AMD A4 PRO-3340B,"1,709",3431,nan
255,41,Intel Xeon W5-2455X,245,AMD Athlon Dual Core 4450e,710,4360,49.03
256,41,Intel Xeon W5-2455X,455,AMD EPYC 3201,"8,672",1470,nan
257,41,Intel Xeon W5-2455X,2455,Intel Core i5-3360M @ 2.80GHz,"2,877",2741,36.88
258,42,Intel Xeon W5-2465X,2,AArch64 rev 4 (aarch64),"1,813",3364,nan
259,42,Intel Xeon W5-2465X,4,AC8259V/WAB,910,4124,nan
260,42,Intel Xeon W5-2465X,5,Allwinner A133,668,4413,nan
261,42,Intel Xeon W5-2465X,6,Allwinner A523,"1,906",3297,nan
262,42,Intel Xeon W5-2465X,24,AMD A10-5750M APU,"2,062",3199,26.42
263,42,Intel Xeon W5-2465X,46,AMD A10-9630P,"2,946",2708,nan
264,42,Intel Xeon W5-2465X,65,AMD A4-3320M APU,668,4415,17.12
265,42,Intel Xeon W5-2465X,246,AMD Athlon Dual Core 4850B,727,4341,nan
266,42,Intel Xeon W5-2465X,465,AMD EPYC 4484PX,"51,115",177,nan
267,42,Intel Xeon W5-2465X,2465,Intel Core i5-3475S @ 2.90GHz,"4,298",2239,17.2
268,43,Intel Xeon W5-3435X,3,AC8257V/WAB,788,4263,nan
269,43,Intel Xeon W5-3435X,4,AC8259V/WAB,910,4124,nan
270,43,Intel Xeon W5-3435X,5,Allwinner A133,668,4413,nan
271,43,Intel Xeon W5-3435X,34,AMD A10-7400P,"2,120",3163,nan
272,43,Intel Xeon W5-3435X,35,AMD A10-7700K APU,"3,181",2607,24.85
273,43,Intel Xeon W5-3435X,43,AMD A10-8850,"3,438",2489,nan
274,43,Intel Xeon W5-3435X,343,AMD Athlon PRO 3045B,"2,770",2785,nan
275,43,Intel Xeon W5-3435X,435,AMD E2-3000M APU,668,4414,15.54
276,43,Intel Xeon W5-3435X,3435,Intel Pentium Gold G6605 @ 4.30GHz,"4,488",2192,18.15
277,44,Intel Xeon W7-3465X,3,AC8257V/WAB,788,4263,nan
278,44,Intel Xeon W7-3465X,4,AC8259V/WAB,910,4124,nan
279,44,Intel Xeon W7-3465X,5,Allwinner A133,668,4413,nan
280,44,Intel Xeon W7-3465X,6,Allwinner A523,"1,906",3297,nan
281,44,Intel Xeon W7-3465X,7,Allwinner A527,"2,297",3053,nan
282,44,Intel Xeon W7-3465X,34,AMD A10-7400P,"2,120",3163,nan
283,44,Intel Xeon W7-3465X,46,AMD A10-9630P,"2,946",2708,nan
284,44,Intel Xeon W7-3465X,65,AMD A4-3320M APU,668,4415,17.12
285,44,Intel Xeon W7-3465X,346,AMD Athlon Silver 3050GE,"4,545",2183,nan
286,44,Intel Xeon W7-3465X,465,AMD EPYC 4484PX,"51,115",177,nan
287,44,Intel Xeon W7-3465X,3465,Intel Pentium M 1500MHz,188,5021,nan
288,45,Intel Xeon W9-3475X,3,AC8257V/WAB,788,4263,nan
289,45,Intel Xeon W9-3475X,4,AC8259V/WAB,910,4124,nan
290,45,Intel Xeon W9-3475X,5,Allwinner A133,668,4413,nan
291,45,Intel Xeon W9-3475X,7,Allwinner A527,"2,297",3053,nan
292,45,Intel Xeon W9-3475X,9,Allwinner H618,623,4464,nan
293,45,Intel Xeon W9-3475X,34,AMD A10-7400P,"2,120",3163,nan
294,45,Intel Xeon W9-3475X,47,AMD A10-9700,"3,556",2451,26.3
295,45,Intel Xeon W9-3475X,75,AMD A4-5100 APU,"1,260",3766,nan
